DATEPRD,BORE_OIL_VOL
17-10-2010,1716.49
18-10-2010,1707.17
19-10-2010,1695.08
20-10-2010,1685.3
21-10-2010,1679.85
22-10-2010,1662.05
23-10-2010,1665.04
24-10-2010,1664.76
25-10-2010,1646.79
26-10-2010,1619.75
27-10-2010,1610.7
28-10-2010,1612.3
29-10-2010,1603.85
30-10-2010,1606.35
31-10-2010,1677.68
01-11-2010,1597.11
02-11-2010,1581.71
03-11-2010,1577.19
04-11-2010,1569.62
05-11-2010,1546.95
06-11-2010,1539.91
07-11-2010,1533.55
08-11-2010,1283.18
09-11-2010,1591.77
10-11-2010,1494.83
11-11-2010,1543.2
12-11-2010,1533.15
13-11-2010,1529.04
14-11-2010,1507.72
15-11-2010,156.29
16-11-2010,1074.05
17-11-2010,1239.04
18-11-2010,1474.61
19-11-2010,1538.4
20-11-2010,1530.69
21-11-2010,1543.05
22-11-2010,1596.13
23-11-2010,1611.64
24-11-2010,1613.68
25-11-2010,1609.87
26-11-2010,1613.49
27-11-2010,1612.24
28-11-2010,1614.24
29-11-2010,1585.8
30-11-2010,1626.3
01-12-2010,1609.92
02-12-2010,1589.75
03-12-2010,1585.55
04-12-2010,1578.54
05-12-2010,1550.79
06-12-2010,1491.36
07-12-2010,1474.38
08-12-2010,1472.38
09-12-2010,1201.17
10-12-2010,1470.57
11-12-2010,1471.19
12-12-2010,1477.12
13-12-2010,1466.79
14-12-2010,1483.23
15-12-2010,1453.72
16-12-2010,1445.2
17-12-2010,1441.39
18-12-2010,1442.42
19-12-2010,1434.65
20-12-2010,1439.58
21-12-2010,1451.05
22-12-2010,1457
23-12-2010,1494
24-12-2010,1479.11
25-12-2010,1465.35
26-12-2010,1454.92
27-12-2010,1447.75
28-12-2010,1174.41
29-12-2010,1365.36
30-12-2010,1432.75
31-12-2010,1416.56
01-01-2011,1400.53
02-01-2011,1445.49
03-01-2011,1467.69
04-01-2011,1495.62
05-01-2011,1489.76
06-01-2011,1489.08
07-01-2011,1493.72
08-01-2011,1493.77
09-01-2011,1494.08
10-01-2011,1470.67
11-01-2011,1459.02
12-01-2011,1485.57
13-01-2011,1534.9
14-01-2011,1510.09
15-01-2011,1508.39
16-01-2011,1506.75
17-01-2011,1441.68
18-01-2011,1435.36
19-01-2011,1429.73
20-01-2011,1403.07
21-01-2011,1416.32
22-01-2011,1400.07
23-01-2011,1391.19
24-01-2011,1392.68
25-01-2011,1377.34
26-01-2011,1379.34
27-01-2011,1375.87
28-01-2011,1379.02
29-01-2011,1399.77
30-01-2011,1399.71
31-01-2011,1380.27
01-02-2011,805.8
05-02-2011,529.63
06-02-2011,1234.51
07-02-2011,1411.05
08-02-2011,1382.22
09-02-2011,1386.99
10-02-2011,1408.32
11-02-2011,1416.92
12-02-2011,1410.46
13-02-2011,1032.64
14-02-2011,444.51
15-02-2011,836.16
16-02-2011,1425.22
17-02-2011,1291.79
18-02-2011,1279.33
19-02-2011,1261.79
20-02-2011,1262.54
21-02-2011,1262.7
22-02-2011,1190.17
23-02-2011,1178.16
24-02-2011,1166.61
25-02-2011,1150.79
26-02-2011,1136.01
27-02-2011,1130.4
28-02-2011,1122.77
01-03-2011,1127.97
02-03-2011,1107.67
03-03-2011,1095.79
04-03-2011,1111.01
05-03-2011,1099.87
06-03-2011,1099.11
07-03-2011,1094.18
08-03-2011,1085.72
09-03-2011,1084.88
10-03-2011,1093.52
11-03-2011,1155.48
12-03-2011,1273.27
13-03-2011,1317.83
14-03-2011,1319.88
15-03-2011,1339.33
16-03-2011,1335.73
17-03-2011,512.15
18-03-2011,1307.39
19-03-2011,1367.36
20-03-2011,1377.51
21-03-2011,1401.73
22-03-2011,1310.29
23-03-2011,1272.22
24-03-2011,1269.45
25-03-2011,1270.22
26-03-2011,1273.01
27-03-2011,1221.62
28-03-2011,1273.76
29-03-2011,1268.71
30-03-2011,1256.64
31-03-2011,1271.75
01-04-2011,1258.59
02-04-2011,1252.49
03-04-2011,1248.11
04-04-2011,1246.03
05-04-2011,1143.41
06-04-2011,1241.86
07-04-2011,1259.7
08-04-2011,1260.44
09-04-2011,1253.93
10-04-2011,1251.18
11-04-2011,1255.76
12-04-2011,1256.69
13-04-2011,1106.35
14-04-2011,1270.15
15-04-2011,1293.92
16-04-2011,1301.46
17-04-2011,1303.22
18-04-2011,1295.85
19-04-2011,1292.72
20-04-2011,1292.57
21-04-2011,1290.47
22-04-2011,1288.23
23-04-2011,1286.05
24-04-2011,1286.18
25-04-2011,1283.34
26-04-2011,1279.87
27-04-2011,1281.08
28-04-2011,1247.89
29-04-2011,1247.09
30-04-2011,1245.09
01-05-2011,1243.58
02-05-2011,1241.78
03-05-2011,1238.3
04-05-2011,1240.01
05-05-2011,1235.08
06-05-2011,1232.25
07-05-2011,1231.84
08-05-2011,1232.65
09-05-2011,1226.3
10-05-2011,1224.72
11-05-2011,960.77
